Date,Country,City,specification,count,min,max,median,varience
01-04-2020,IN,Kolkata,humidity,240,28.1,99,59.5,3811.23
02-04-2020,IN,Kolkata,humidity,240,36.6,98.7,68.4,2054.74
03-04-2020,IN,Kolkata,humidity,240,32.6,98.8,61.7,3448.21
04-04-2020,IN,Kolkata,humidity,241,21.3,92,48,4862.72
05-04-2020,IN,Kolkata,humidity,240,20.2,98.7,64.1,5800.44
06-04-2020,IN,Kolkata,humidity,256,12,99,48.8,9634.18
07-04-2020,IN,Kolkata,humidity,264,15.9,95.2,58.9,3879.72
08-04-2020,IN,Kolkata,humidity,264,28.9,86.2,44.5,2484.62
09-04-2020,IN,Kolkata,humidity,263,26.5,80.8,45.5,1548.65
10-04-2020,IN,Kolkata,humidity,240,26.6,99,76.1,3991.77
11-04-2020,IN,Kolkata,humidity,253,33.7,99,67.3,3734.85
12-04-2020,IN,Kolkata,humidity,264,48,98.8,69.1,1198.71
13-04-2020,IN,Kolkata,humidity,264,42.6,98.8,81.4,2467.86
14-04-2020,IN,Kolkata,humidity,264,46.7,98.8,80.7,2310.48
15-04-2020,IN,Kolkata,humidity,264,54.2,99,76.2,1610.73
16-04-2020,IN,Kolkata,humidity,264,51.3,98.7,75.6,1609.16
17-04-2020,IN,Kolkata,humidity,258,50.6,97.4,72,1121.24
18-04-2020,IN,Kolkata,humidity,251,48,98.6,75.9,1106.12
19-04-2020,IN,Kolkata,humidity,250,45.1,98.7,65.3,1468.6
20-04-2020,IN,Kolkata,humidity,244,55.7,98.7,79.5,1121.44
21-04-2020,IN,Kolkata,humidity,264,54.8,98.8,73.1,972.69
22-04-2020,IN,Kolkata,humidity,264,55.2,98.7,79.1,1241.36
23-04-2020,IN,Kolkata,humidity,257,52.8,98.8,85.3,1468.19
24-04-2020,IN,Kolkata,humidity,240,57.4,98.8,81.2,1180.17
25-04-2020,IN,Kolkata,humidity,225,52,98.8,78.5,1676
26-04-2020,IN,Kolkata,humidity,215,46.3,98.8,79.6,1766.01
27-04-2020,IN,Kolkata,humidity,227,67.1,98.8,85.2,778.88
28-04-2020,IN,Kolkata,humidity,250,68.9,100,89.9,383.51
29-04-2020,IN,Kolkata,humidity,263,52.2,99,78.2,2054.04
30-04-2020,IN,Kolkata,humidity,264,50.3,98.9,78.4,2257.62
01-05-2020,IN,Kolkata,humidity,261,54.8,99,87.8,1879.23
02-05-2020,IN,Kolkata,humidity,263,55.5,100,85.6,1683.9
03-05-2020,IN,Kolkata,humidity,264,48.5,99,76.5,2030.02
04-05-2020,IN,Kolkata,humidity,264,59.5,99,81.9,1410.64
05-05-2020,IN,Kolkata,humidity,264,50,99,80.3,2044.14
06-05-2020,IN,Kolkata,humidity,224,55.8,99,85.5,1742.38
07-05-2020,IN,Kolkata,humidity,215,47.6,98.9,77.7,2236.79
08-05-2020,IN,Kolkata,humidity,215,51.9,98.8,74.4,1938.34
09-05-2020,IN,Kolkata,humidity,197,36.6,99,70.1,3653.62
10-05-2020,IN,Kolkata,humidity,212,42,99,78.8,2734.85
11-05-2020,IN,Kolkata,humidity,196,42.2,98.7,73.3,2471.85
12-05-2020,IN,Kolkata,humidity,200,40.2,98.5,65,2437.83
13-05-2020,IN,Kolkata,humidity,213,30.5,98.7,68.3,4077.97
14-05-2020,IN,Kolkata,humidity,214,47.6,98.7,77.6,1820.8
15-05-2020,IN,Kolkata,humidity,216,45.1,98.8,75,1849.93
16-05-2020,IN,Kolkata,humidity,198,46.2,98.7,78.1,1779
